FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
2019-02-22,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,4301,ABE,"Allentown/Bethlehem/Easton, PA",DTW,"Detroit, MI",1231,1223.0,-8.0,13.0,1236.0,1359.0,13.0,1427,1412.0,-15.0,0.0,,0.0,116.0,109.0,83.0,425.0,,,,,
2021-01-20,Envoy Air,Envoy Air: MQ,MQ,20398,3602,DSM,"Des Moines, IA",DFW,"Dallas/Fort Worth, TX",715,712.0,-3.0,24.0,736.0,920.0,14.0,935,934.0,-1.0,0.0,,0.0,140.0,142.0,104.0,624.0,,,,,
2019-04-01,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,2963,SLC,"Salt Lake City, UT",LAX,"Los Angeles, CA",1447,1441.0,-6.0,11.0,1452.0,1522.0,8.0,1549,1530.0,-19.0,0.0,,0.0,122.0,109.0,90.0,590.0,,,,,
2019-07-30,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2560,ORD,"Chicago, IL",MSP,"Minneapolis, MN",1530,1527.0,-3.0,17.0,1544.0,1658.0,5.0,1705,1703.0,-2.0,0.0,,0.0,95.0,96.0,74.0,334.0,,,,,
2021-10-26,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,4253,GJT,"Grand Junction, CO",SLC,"Salt Lake City, UT",625,617.0,-8.0,11.0,628.0,708.0,7.0,721,715.0,-6.0,0.0,,0.0,56.0,58.0,40.0,216.0,,,,,
2021-01-19,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1694,DFW,"Dallas/Fort Worth, TX",DEN,"Denver, CO",2020,2015.0,-5.0,21.0,2036.0,2120.0,7.0,2137,2127.0,-10.0,0.0,,0.0,137.0,132.0,104.0,641.0,,,,,
2019-09-14,JetBlue Airways,JetBlue Airways: B6,B6,20409,72,SLC,"Salt Lake City, UT",JFK,"New York, NY",2359,2353.0,-6.0,9.0,2.0,551.0,7.0,614,558.0,-16.0,0.0,,0.0,255.0,245.0,229.0,1990.0,,,,,
2020-01-26,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5614,LAX,"Los Angeles, CA",EUG,"Eugene, OR",2043,2034.0,-9.0,14.0,2048.0,2254.0,6.0,2306,2300.0,-6.0,0.0,,0.0,143.0,146.0,126.0,748.0,,,,,
2019-06-18,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1419,PHX,"Phoenix, AZ",SFO,"San Francisco, CA",1200,,,,,,,1400,,,1.0,A,0.0,120.0,,,651.0,,,,,
2020-12-24,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1308,MIA,"Miami, FL",ORD,"Chicago, IL",1935,1927.0,-8.0,15.0,1942.0,2101.0,9.0,2156,2110.0,-46.0,0.0,,0.0,201.0,163.0,139.0,1197.0,,,,,
2019-01-14,JetBlue Airways,JetBlue Airways: B6,B6,20409,1480,FLL,"Fort Lauderdale, FL",DCA,"Washington, DC",950,1018.0,28.0,16.0,1034.0,1237.0,3.0,1215,1240.0,25.0,0.0,,0.0,145.0,142.0,123.0,899.0,4.0,0.0,0.0,0.0,21.0
2021-02-17,Envoy Air,Envoy Air: MQ,MQ,20398,3368,ICT,"Wichita, KS",DFW,"Dallas/Fort Worth, TX",940,,,,,,,1116,,,1.0,B,0.0,96.0,,,328.0,,,,,
2022-03-05,Envoy Air,Envoy Air: MQ,MQ,20398,4185,ELP,"El Paso, TX",DFW,"Dallas/Fort Worth, TX",640,635.0,-5.0,14.0,649.0,905.0,10.0,931,915.0,-16.0,0.0,,0.0,111.0,100.0,76.0,551.0,,,,,
2022-06-19,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,470,DFW,"Dallas/Fort Worth, TX",LAX,"Los Angeles, CA",1031,1130.0,59.0,16.0,1146.0,1229.0,5.0,1148,1234.0,46.0,0.0,,0.0,197.0,184.0,163.0,1235.0,18.0,0.0,1.0,0.0,27.0
2019-11-24,Allegiant Air,Allegiant Air: G4,G4,20368,85,RAP,"Rapid City, SD",LAS,"Las Vegas, NV",2119,2113.0,-6.0,6.0,2119.0,2218.0,5.0,2234,2223.0,-11.0,0.0,,0.0,135.0,130.0,119.0,843.0,,,,,
2022-01-29,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1611,PHX,"Phoenix, AZ",LAS,"Las Vegas, NV",845,835.0,-10.0,18.0,853.0,837.0,6.0,855,843.0,-12.0,0.0,,0.0,70.0,68.0,44.0,255.0,,,,,
2022-04-20,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5379,CLT,"Charlotte, NC",HSV,"Huntsville, AL",1315,1307.0,-8.0,23.0,1330.0,1328.0,4.0,1350,1332.0,-18.0,0.0,,0.0,95.0,85.0,58.0,333.0,,,,,
2021-09-05,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1303,MSP,"Minneapolis, MN",AUS,"Austin, TX",2115,2118.0,3.0,10.0,2128.0,2331.0,5.0,2358,2336.0,-22.0,0.0,,0.0,163.0,138.0,123.0,1042.0,,,,,
2019-02-02,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,3492,CVG,"Cincinnati, OH",MSP,"Minneapolis, MN",1100,1056.0,-4.0,17.0,1113.0,1147.0,9.0,1212,1156.0,-16.0,0.0,,0.0,132.0,120.0,94.0,596.0,,,,,
2022-06-09,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1803,MIA,"Miami, FL",DCA,"Washington, DC",1340,1452.0,72.0,25.0,1517.0,1750.0,3.0,1617,1753.0,96.0,0.0,,0.0,157.0,181.0,153.0,919.0,0.0,72.0,24.0,0.0,0.0
2023-04-04,Republic Airline,Republic Airline: YX,YX,20452,4493,LGA,"New York, NY",BNA,"Nashville, TN",1200,1155.0,-5.0,23.0,1218.0,1314.0,9.0,1333,1323.0,-10.0,0.0,,0.0,153.0,148.0,116.0,764.0,,,,,
2022-07-10,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,679,DTW,"Detroit, MI",RSW,"Fort Myers, FL",1803,1758.0,-5.0,14.0,1812.0,2037.0,4.0,2051,2041.0,-10.0,0.0,,0.0,168.0,163.0,145.0,1084.0,,,,,
2021-08-05,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2585,DFW,"Dallas/Fort Worth, TX",ORD,"Chicago, IL",2231,14.0,103.0,13.0,27.0,214.0,7.0,59,221.0,82.0,0.0,,0.0,148.0,127.0,107.0,801.0,82.0,0.0,0.0,0.0,0.0
2023-08-30,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2646,SAN,"San Diego, CA",SLC,"Salt Lake City, UT",1914,1930.0,16.0,20.0,1950.0,2218.0,3.0,2215,2221.0,6.0,0.0,,0.0,121.0,111.0,88.0,626.0,,,,,
2023-01-11,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,671,RDU,"Raleigh/Durham, NC",MIA,"Miami, FL",630,1006.0,216.0,16.0,1022.0,1156.0,6.0,849,1202.0,193.0,0.0,,0.0,139.0,116.0,94.0,700.0,0.0,0.0,193.0,0.0,0.0
2023-06-29,Republic Airline,Republic Airline: YX,YX,20452,3431,EWR,"Newark, NJ",CVG,"Cincinnati, OH",948,948.0,0.0,91.0,1119.0,1253.0,5.0,1156,1258.0,62.0,0.0,,0.0,128.0,190.0,94.0,569.0,0.0,0.0,62.0,0.0,0.0
2022-02-14,Republic Airline,Republic Airline: YX,YX,20452,4623,PIT,"Pittsburgh, PA",LGA,"New York, NY",1837,1824.0,-13.0,48.0,1912.0,2006.0,11.0,2010,2017.0,7.0,0.0,,0.0,93.0,113.0,54.0,335.0,,,,,
2022-04-22,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5022,CLT,"Charlotte, NC",CLE,"Cleveland, OH",840,845.0,5.0,50.0,935.0,1039.0,3.0,1017,1042.0,25.0,0.0,,0.0,97.0,117.0,64.0,430.0,5.0,0.0,20.0,0.0,0.0
